Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
GV,0,337,8495,11500,6636,11203,11963,16678,23505,24186,28272,33505,35202,35899,37206,35439,33653,30401,26474,22595,18904,15462,12504,10235,7940,6398,5061,3936,3183,2235,1599,1233,856,571,1169
GR,0,321,8510,12331,7088,11778,12705,17150,23433,24226,28667,34206,35322,35497,37374,35635,33694,30086,26114,22476,18475,14887,12261,9743,7765,5979,4656,3820,2796,1989,1395,1042,742,503,748
GI,0,292,8280,11633,6440,11060,12145,16619,23725,24196,28354,33748,35008,35782,37346,35550,33097,30527,26228,22344,18664,15247,12283,9886,7952,6079,4893,3754,2769,2005,1407,1029,718,492,774
GL,0,271,8560,11452,6598,11270,12059,16631,23577,24017,28094,33634,34902,35694,37286,35489,33330,30253,26381,22552,18664,15089,12372,9928,7978,6309,4859,3805,2871,1937,1389,1016,711,484,832
GK,0,308,8345,11634,6861,11336,12190,16653,23572,23768,28314,34010,34723,35701,36615,35710,33187,30082,26463,22552,18679,15268,12235,10078,7836,6102,4870,3992,2819,2023,1479,1075,750,482,775
GM,1,326,8444,11699,6674,11194,12115,17075,23682,24213,28253,33777,35383,35947,36984,35446,33368,29937,26211,22663,18442,15247,12301,9859,7839,6278,4872,3898,2907,2056,1571,1143,805,553,871
FG,0,318,8507,11502,6652,11056,12169,16722,23487,24103,28072,33530,35226,35541,37016,35336,33245,30376,26274,22627,18612,15452,12490,10114,7977,6187,4857,3798,2834,2005,1414,1062,708,493,814
GW,0,292,8360,11483,6711,11308,12118,16567,23271,24227,28252,33498,34883,35620,37068,35435,33166,29931,26459,22592,18540,15500,12591,9850,8077,6160,4904,3791,2819,2067,1439,1054,724,471,752
GY,0,328,8336,11490,6497,11088,12232,17015,23344,24090,28418,33794,35306,35521,37031,35598,33175,30310,26467,22842,18586,15174,12307,10048,7905,6120,4864,3840,2887,2046,1440,1064,707,462,765
SS,0,167,5701,6657,3178,5624,5957,8370,11754,12225,14211,16782,17539,18044,18652,17695,16876,15216,13490,11305,9694,7949,6348,5154,3942,3183,2657,2090,1664,1140,896,619,432,362,699
NS,0,324,10539,13450,7115,11036,12034,16690,23357,24098,28105,33427,35226,35904,36577,35289,33172,30069,26489,22573,18698,15285,12389,9997,7783,6231,4985,3892,2809,1972,1406,1083,737,500,778
DS,0,460,11043,13572,6963,11147,11979,16713,23772,24204,28208,33722,35022,35963,36934,35324,33071,30286,26194,22473,18533,15154,12423,10052,7947,6193,4853,3818,2854,2106,1478,1054,767,557,886
CS,0,287,10631,14117,6564,11330,12113,16847,23788,24231,28555,33852,35250,35685,37184,35474,33490,30316,26186,22619,18529,15120,12275,10016,7851,6088,4778,3801,2853,2013,1375,961,691,503,784
PS,1,186,7548,12462,6421,10897,11851,16658,23299,24307,28307,33584,34752,35721,36670,35616,33156,29831,26339,22686,18669,15322,12594,10049,8071,6166,5084,3802,2801,2052,1484,1079,759,501,885
ST,1,329,11392,13654,6508,11113,11973,16637,23424,24303,28107,33578,34934,35943,37065,35593,33494,30379,26585,22529,18711,15405,12466,10173,8016,6372,5104,3907,3055,2216,1468,1107,765,577,1034
QS,0,302,10157,12952,7379,11653,12195,16742,23627,24177,28482,33712,35192,35854,36796,35548,33541,30193,26271,22406,18495,15055,12196,10014,7874,6171,4928,3820,2853,1931,1374,1038,662,450,728
ES,0,277,10284,12782,6814,11555,11867,16711,23653,24296,28413,33670,35280,35537,37018,35417,33403,30064,26435,22298,18441,15232,12295,9805,8077,6072,4839,3810,2839,1994,1398,996,717,430,742
HS,0,328,10050,13539,6862,11397,12134,16852,23551,24469,28133,33960,35066,36349,37154,35920,33601,29969,26409,22518,18507,15084,12382,9948,7833,6004,4535,3828,2847,1989,1465,1031,701,481,797
SV,0,312,9986,12489,6459,11147,12098,16640,23622,24518,28593,33933,35186,36052,37126,35462,33014,29944,25848,22763,18384,14794,12342,9782,7959,6059,4820,3728,2857,2033,1457,1033,703,456,754
RS,0,310,10029,13379,6919,11577,12567,16970,23242,23904,28209,33504,35414,35587,37131,35590,33303,30475,26272,22732,18490,15292,12353,10062,7843,6227,4857,3862,2890,2040,1478,1026,706,510,733
IS,0,306,9879,12710,6490,11005,12025,16643,23700,24261,28223,33593,34990,35858,37010,35683,33260,30158,26417,22430,18546,15265,12457,10023,7875,6088,4954,3846,2794,2022,1409,1024,780,492,783
LS,0,296,9997,12743,6483,11142,12087,16599,23443,24364,28307,33455,35127,36073,36981,35756,33260,30197,26160,22418,18562,14901,12238,9994,7891,6183,4759,3851,2873,1976,1403,1089,725,465,779
KS,0,293,9936,12494,6687,11359,12119,16812,23494,24242,28098,33468,35312,35419,37012,35466,33313,30277,26235,22830,18598,15191,12462,10115,7956,6057,4870,3781,2907,2020,1410,965,723,496,777
MS,0,302,10066,12525,6512,11072,11706,16516,23377,23798,28075,33974,35089,36013,36994,35584,33388,30141,26280,22460,18526,15328,12219,9870,7953,6121,4729,3741,2800,1947,1443,972,724,486,729
FS,1,291,9844,12470,6453,10940,11712,16469,23178,24094,27959,33465,34879,35593,36606,35634,33532,30455,26412,22687,18900,15552,12507,10019,8076,6381,4923,3900,2926,2057,1533,1089,688,484,814
SW,2,282,9827,12572,6550,11365,12069,16643,23716,24161,28104,33811,34930,36072,36777,35423,33268,30207,26331,22639,18586,15407,12321,9956,7933,6087,4915,3831,2955,2028,1453,1035,693,468,792
SY,0,311,9801,12433,6513,10973,12109,17011,23352,24055,28256,33460,34836,35127,37144,35528,33504,30384,26409,22417,18646,15467,12502,9879,7940,6315,4905,3996,2842,1999,1400,1069,739,472,781
NN,0,154,4838,6854,3975,5571,6147,8548,11706,12077,14231,16955,17541,17986,18313,17580,16680,15250,13067,11355,9233,7615,6248,4966,3896,3085,2543,2019,1483,1057,731,493,328,266,384
DN,0,437,9953,13602,7622,11128,12095,16896,23762,24128,28412,33781,35317,35787,37135,35613,33497,30067,26657,22650,18707,15488,12412,10067,7957,6314,4944,3906,2849,2202,1632,1247,872,646,1213
CN,0,288,9545,14044,7164,11127,11965,16923,23778,24101,27996,33626,35148,35140,37047,35673,33221,30050,26187,22591,18553,15250,12365,10146,7841,6051,4777,3815,2805,2095,1395,1051,701,511,856
NP,0,145,6562,12397,6918,11198,11820,16515,23546,24447,28340,33762,34790,35770,37122,35692,33229,30286,26299,22450,18644,15108,12354,10056,8007,6178,4813,3798,2769,1934,1355,1007,708,490,810
NT,0,285,10640,13494,7192,11025,11855,16834,23462,24154,27877,33467,34973,35645,36810,35535,33097,30047,26431,22507,18723,15167,12575,9998,8012,6359,4991,3778,2927,2063,1498,1098,727,517,886
NQ,0,279,9402,13066,7965,11668,11922,16641,23610,24322,28120,33491,34813,35758,36777,35288,33087,30104,26326,22571,18448,15289,12423,10018,8136,6277,4912,3842,2766,1970,1451,984,712,498,849
EN,1,322,9452,12613,7545,11546,12113,16642,23709,24568,28255,33965,35192,35889,37443,35492,33596,29934,26326,22679,18421,15013,12382,9747,7804,6165,4800,3858,2857,2005,1446,1032,749,487,777
HN,0,298,9066,13343,7601,11454,11997,16562,23488,24243,27880,33631,35261,35625,37144,35579,33212,30265,26245,22433,18590,15266,12694,10028,8021,6134,5064,3779,2994,1998,1419,941,703,423,800
NV,1,291,8908,12493,7203,11185,11892,16382,23286,24481,28185,33437,35057,35483,37046,35806,33420,29932,26493,22487,18480,15218,12428,10006,7961,6208,4843,3745,2882,2059,1418,1055,703,511,774
NR,1,330,9073,13086,7579,11748,12252,16744,23631,24174,28353,33445,35195,35777,37062,35642,33396,29843,26680,22460,18676,15173,12305,10162,7758,6144,4822,3896,2870,2060,1499,1075,696,525,796
IN,1,283,8886,12478,7145,11122,11915,16684,23674,24521,28189,33840,34782,36160,36837,35709,33255,30176,26279,22624,18541,15240,12607,10028,8025,6140,4866,3895,2755,1929,1407,1055,731,477,819
LN,0,266,9150,12459,7086,11264,11789,16540,23464,24223,28177,33853,34824,35832,36881,36065,33222,30127,26363,22567,18593,15419,12440,10205,7990,6208,4803,3834,2878,1988,1398,961,774,479,776
KN,0,280,8970,12518,7364,11659,12108,16629,23678,24367,28247,33749,34919,35362,37063,35426,33668,30280,26122,22734,18706,15263,12404,9942,7767,6091,4835,3828,2851,2080,1491,1051,774,493,825
MN,0,309,9068,12593,7315,11140,12024,16702,23467,24389,28388,33696,34770,35657,37059,35443,33423,30245,26291,22624,18602,15285,12466,10158,7944,6239,4795,3812,2944,1972,1378,1065,652,471,784
FN,0,290,8878,12522,7073,11013,11763,16522,23274,24199,27870,33421,34663,35958,37178,35550,33442,30346,26466,22831,18686,15389,12492,9954,8058,6093,4856,3901,2764,1946,1408,1003,702,493,759
NW,0,305,8921,12392,7071,11545,11795,16299,23587,24133,28131,33741,35190,35882,37310,35767,33507,30594,26361,22506,18655,15380,12521,10088,7748,6163,4796,3903,2809,1948,1411,1021,681,516,735
NY,0,275,8971,12330,7068,11158,12140,16925,23295,24111,27855,33793,35137,35714,37015,35379,33412,30194,26341,22865,18728,15383,12467,9931,7814,6231,4893,3817,2793,2005,1413,1017,661,449,767
DD,0,284,5024,6655,3802,5572,6056,8381,11856,12247,14168,16846,17565,17836,18732,17720,16383,15130,13202,11178,9297,7786,6283,4981,4025,3028,2437,1891,1394,1036,760,546,360,261,417
CD,0,412,9816,13828,7214,11096,11893,16601,23741,24094,28100,33676,35037,35652,37302,35777,33264,30396,26533,22597,18465,15158,12607,10037,8054,6152,4958,3797,2883,2037,1379,1024,694,506,776
DP,1,319,6909,12328,6946,11062,11957,16618,23736,24341,28332,33724,34880,35833,36722,35715,33129,30124,26676,22408,18516,15628,12563,9957,8019,6191,4979,3767,2807,1942,1411,1066,694,498,753
